# Dataset "Data 0" exported from GenX on Wed Dec  6 15:34:13 2017
# Column lables:
# x	I_simulated	I	error(I)
1.099999999999999728e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149999999999999772e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.199999999999999817e-01 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.249999999999999722e-01 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.299999999999999767e-01 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.349999999999999811e-01 9.999999999999993339e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.399999999999999856e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.449999999999999900e-01 9.999992502765699953e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.499999999999999944e-01 9.999980641962546990e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.549999999999999989e-01 9.999966124078288887e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.599999999999999756e-01 9.999945747514891181e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.649999999999999800e-01 9.999916058342924741e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.699999999999999845e-01 9.999871925889135538e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.749999999999999889e-01 9.999805282492011393e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.799999999999999933e-01 9.999703100723248417e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.849999999999999700e-01 9.999543873710735609e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.899999999999999745e-01 9.999291278758951629e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.949999999999999789e-01 9.998882419879103756e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.999999999999999833e-01 9.998205285996903946e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.049999999999999878e-01 9.997053904635717636e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.099999999999999645e-01 9.995035238328335847e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.149999999999999689e-01 9.991366032543305131e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.199999999999999734e-01 9.984402586644398614e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.249999999999999778e-01 9.970472065207044432e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.299999999999999822e-01 9.940703036388243152e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.349999999999999867e-01 9.871444130003678152e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.399999999999999634e-01 9.691119599596142997e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.449999999999999678e-01 9.146602622154983431e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.499999999999999722e-01 7.235430847690105249e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.549999999999999489e-01 1.981531997251222144e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.599999999999999534e-01 5.370999186596522867e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.649999999999999578e-01 2.826412042182761541e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.699999999999999623e-01 3.875253614421798609e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.749999999999999667e-01 3.916738176062558585e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.799999999999999711e-01 3.309902266535402759e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.849999999999999756e-01 2.272787639700799278e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.899999999999999800e-01 1.112453316251927338e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.949999999999999845e-01 2.688193494723201474e-02 0.000000000000000000e+00 0.000000000000000000e+00
